Prénoms 2010;Nombre;Prénoms 2009;Nombre;Prénoms 2008;Nombre;Prénoms 2007;Nombre;Prénoms 2006;Nombre;Prénoms 2005;Nombre;Prénoms 2004;Nombre
Benjamin;93;Margaux;90;Héloïse;91;Augustin;95;Lou;101;Axel;102;Gaspard;100
Victoire;93;Lola;90;Rose;91;Noé;94;Romane;100;Zoé;100;Axel;100
Maxence;93;Elise;89;Joseph;89;Romane;94;Maxence;97;Charles;95;Charles;98
Noémie;93;Mathis;89;Pierre;89;Emilie;93;Axel;97;Lina;94;Romane;98
Margaux;92;Alexis;89;Alexis;88;Romain;90;Gabrielle;97;Romane;94;Maxence;97
Pierre;89;Romane;88;Quentin;88;Laura;90;Adèle;97;Yasmine;93;Samuel;96
Augustin;88;Pierre;86;Romane;88;Lisa;90;Mathieu;95;Agathe;93;Noé;96
Noa;88;Théo;86;Victoria;88;Pierre;89;Valentin;94;Nina;91;Margot;95
Jean;87;Benjamin;85;David;87;Axel;89;Valentine;94;Matthieu;91;Nina;94
Amine;87;Adèle;85;Romain;87;Elias;89;Joseph;93;Maxence;90;Guillaume;91
Aaron;86;Julia;84;Tom;87;Rose;85;Noah;93;Victoria;88;Lina;91
Alix;86;Valentin;84;Charles;86;Joseph;84;Agathe;92;Adèle;88;Matthieu;91
Elise;85;Romain;83;Tristan;86;Gabrielle;83;Julia;91;Quentin;87;Valentin;90
Julia;85;Quentin;83;William;86;Maxence;82;Sara;89;Ambre;86;Elisa;88
Valentin;85;Héloïse;82;Agathe;85;Maya;80;Julie;88;Margaux;86;David;87
Maya;84;Valentine;80;Nicolas;83;Adèle;80;Noé;85;Mathieu;85;Julia;85
Timothée;84;Axel;80;Valentin;83;Agathe;79;Elias;85;Simon;85;Mathieu;84
Théo;84;Victoire;79;Gabrielle;82;Ambre;78;Augustin;83;Lola;85;Carla;84
Lola;82;Noa;79;Noémie;82;Benjamin;78;David;83;Victoire;84;Oscar;83
Elisa;82;Margot;79;Théo;81;David;78;Emilie;83;Laura;83;Capucine;82
Margot;81;Timothée;79;Valentine;79;Charles;77;Laura;81;Noah;82;Océane;81
Quentin;81;David;79;Yasmine;79;Héloïse;77;Lola;80;Valentin;81;Alix;80
Lisa;81;William;78;Adèle;78;Aaron;76;Théo;80;Elias;80;Noah;80
Héloïse;81;Salomé;78;Augustin;78;Eliott;76;Salomé;79;Noa;79;Yasmine;79
Pauline;79;Aaron;76;Benjamin;78;Victoria;75;Noa;79;Alix;77;Mattéo;79
Apolline;78;Laura;76;Capucine;78;Lola;74;Matthieu;79;Valentine;77;Joseph;78
Ava;77;Agathe;75;Noé;78;Noémie;74;Ambre;78;Carla;77;Salomé;78
Côme;77;Eliott;75;Laura;77;Tom;73;Alix;77;Emilie;77;Noémie;78
Valentine;77;Elisa;75;Margaux;77;Félix;73;Victoire;77;Océane;77;Victoria;76
Laura;76;Jean;74;Sofia;77;Diane;73;Charles;77;Guillaume;76;Tristan;76
Diane;75;Joséphine;74;Emilie;76;Yasmine;72;Héloïse;77;Joseph;75;Valentine;75
Romain;73;Tom;74;Jean;76;Mathieu;72;Noémie;75;Félix;75;Ambre;74
Charles;73;Julien;74;Salomé;76;Valentine;72;Elise;72;Rose;74;Margaux;74
Evan;72;Sasha;73;Maya;75;Alix;71;Margot;72;Salomé;74;Augustin;73
Basile;71;Charles;73;Eliott;74;Margot;71;Yasmine;71;Aurélien;73;Lola;73
Salomé;71;Ambre;72;Lisa;74;Timothée;71;Elisa;71;Joséphine;73;Noa;72
Tom;71;Alix;72;Julia;73;Salomé;70;Victoria;70;David;73;Agathe;72
Capucine;71;Ava;72;Elsa;71;Sara;70;Elsa;69;Eliott;70;Jean;70
Félix;71;Yasmine;72;Margot;71;Elisa;70;Margaux;69;Héloïse;70;Victoire;70
Mehdi;70;Emilie;72;Alix;70;Joséphine;69;Rose;68;William;69;Justine;70
Victoria;70;Nicolas;71;Ava;70;Apolline;69;Joséphine;67;Rayane;69;Timothée;70
Sasha;69;Julie;71;Sara;70;Noa;68;Rayane;67;Tristan;69;Vincent;69
Elsa;69;Elsa;70;Timothée;70;Océane;68;Aaron;66;Gabrielle;67;Adèle;67
Nour;69;Sofia;69;Ambre;69;Capucine;67;Capucine;66;Julia;66;Dylan;67
Léna;69;Côme;69;Diane;68;Guillaume;66;Jean;65;Capucine;66;William;66
David;69;Elias;68;Elias;68;Myriam;64;Ruben;65;Justine;64;Héloïse;66
Iris;69;Aya;67;Sasha;68;Justine;64;Sofia;65;Augustin;63;Eléonore;64
Emilie;68;Nour;67;Elisa;65;Julia;63;Guillaume;65;Léna;63;Marine;64
Tristan;68;Sara;67;Olivia;65;Margaux;63;Esther;65;Ruben;61;Aurélien;63
Agathe;67;Apolline;66;Mathieu;64;Sofia;62;William;63;Sara;61;Elise;62
Alicia;67;Noémie;64;Victoire;64;Aurélien;61;Eliott;62;Maëlle;61;Elsa;62
Elias;67;Maya;63;Antonin;63;Jean;61;Léna;61;Violette;61;Mehdi;61
Sofia;66;Maël;62;Alicia;62;Olivia;61;Myriam;60;Elisa;61;Ruben;61
Maël;65;Léonard;62;Apolline;61;Carla;61;Luna;60;Diane;61;Alexandra;60
Aya;65;Ismaël;62;Elise;61;Victoire;60;Amine;59;Elise;60;Apolline;60
Sara;65;Félix;60;Madeleine;61;Violette;60;Apolline;59;Vincent;60;Shirel;59
Eliott;65;Ulysse;59;Noam;61;Léna;60;Florian;58;Marine;60;Félix;59
Yasmine;63;Mathieu;59;Nour;61;Côme;59;Océane;58;Alicia;60;Kevin;58
Léon;63;Capucine;59;Amine;60;Elsa;59;Tristan;57;Eden;59;Sofia;58
Joséphine;63;Diane;59;Luna;60;Tristan;59;Diane;57;Jean;58;Sara;57
Ambre;61;Tristan;59;Fatoumata;59;Sasha;58;Fatoumata;56;Grégoire;58;Rayane;57
Ulysse;61;Léna;59;Aurélien;58;Ruben;57;Maël;55;Margot;58;Elias;57
William;61;Amine;58;Constance;58;Marion;57;Evan;55;Maya;57;Elodie;57
Ismaël;61;Garance;58;Iris;58;Maël;56;Aurélien;54;Florian;57;Yann;56
Mila;61;Antonin;57;Esther;57;Matthieu;56;Maya;54;Timothée;57;Grégoire;56
Ruben;60;Luna;56;Maëlys;57;Garance;56;Mathias;54;Eléonore;56;Fatoumata;56
Julie;60;Matthieu;56;Célia;56;Eden;55;Justine;53;Alexandra;56;Léna;56
Titouan;60;Eden;55;Violette;56;Iris;55;Sasha;53;Garance;56;Aaron;55
Noam;60;Liam;55;Léna;55;Ismaël;55;Vincent;52;Myriam;55;Célia;54
Charlie;60;Noam;55;Eden;54;Ava;54;Violette;52;Antonin;55;Marius;54
Julien;60;Alicia;54;Mila;53;William;54;Carla;52;Mattéo;54;Alicia;54
Luca;59;Esther;54;Evan;52;Mathias;54;Ulysse;51;Thibault;54;Clémentine;52
Violette;59;Olivia;53;Joséphine;52;Antonin;54;Corentin;51;Aaron;52;Robin;52
Lily;58;Maëlys;53;Liam;52;Mathéo;51;Ava;50;Ibrahim;52;Joséphine;52
Liam;58;Eléonore;52;Roman;52;Aya;51;Félix;50;Luna;52;Claire;52
Gabin;58;Luca;51;Ruben;52;Grégoire;51;Eden;49;Elsa;52;Florian;52
Matthieu;58;Evan;50;Solal;52;Esther;51;Mathéo;49;Maël;51;Eliott;52
Fatoumata;58;Eloïse;50;Guillaume;51;Ines;50;Célia;49;Mathias;50;Thibault;52
Justine;57;Stella;50;Justine;51;Mehdi;49;Lila;49;Fatoumata;50;Rose;51
Constance;57;Violette;50;Sophie;51;Nour;49;Titouan;49;Chiara;50;Constance;51
Nicolas;56;Mélissa;50;Côme;50;Solal;48;Chiara;49;Marius;49;Gabrielle;51
Olivia;55;Charlie;50;Youssef;50;Malo;47;Timothée;48;Etienne;49;Diane;51
Léonard;55;Iris;50;Corentin;49;Daniel;47;Gabin;48;Sofia;49;Chiara;51
Léonie;55;Basile;49;Eléonore;48;Noam;47;Noam;48;Lila;49;Amine;50
Lucien;54;Constance;49;Faustine;48;Mariam;47;Garance;48;Iris;49;Myriam;49
Maëlys;54;Anouk;49;Félix;48;Evan;46;Iris;48;Amélie;48;Mathias;49
Garance;54;Ines;48;Ibrahim;48;Amine;46;Hector;47;Marion;48;Stanislas;49
Aurélien;53;Justine;48;Lila;48;Mélissa;46;Mehdi;47;Esther;48;Erwan;49
Robin;53;Suzanne;48;Luca;48;Chiara;46;Nour;47;Célia;46;Basile;48
Naël;53;Yassine;48;Marius;48;Eléonore;45;Dylan;47;Pablo;45;Morgane;48
